Gene ID	Gene Name	SRR934360	SRR934366	SRR934364	SRR934370	SRR934361	SRR934362	SRR934365	SRR934363	SRR934367	SRR934368	SRR934369
ENSG00000000003	TSPAN6	4800	1371	2416	1052	1534	3463	1659	3417	2257	2599	3492
ENSG00000000005	TNMD	1	1	1	0	1	5	0	1	1	2	0
ENSG00000000419	DPM1	1823	614	1205	663	673	2126	1159	1309	1207	1062	976
ENSG00000000457	SCYL3	1084	253	494	319	370	694	467	760	707	1312	684
ENSG00000000460	C1orf112	121	50	119	59	69	146	113	102	140	148	99
ENSG00000000938	FGR	123	110	698	177	36	657	1086	87	400	101	61
ENSG00000000971	CFH	2983	309	4056	2275	610	3583	3934	4247	3495	167	1322
ENSG00000001036	FUCA2	3010	1068	2134	1608	1107	2894	3203	2379	2280	1348	2259
ENSG00000001084	GCLC	2456	503	1322	807	1103	2759	2308	2385	1671	7007	2484
ENSG00000001167	NFYA	1892	853	3003	982	1037	2287	1409	1975	1590	2536	792
ENSG00000001460	STPG1	742	274	590	542	347	701	593	715	650	1204	512
ENSG00000001461	NIPAL3	6321	3540	4090	4957	2273	4412	7603	4407	6129	4733	4782
ENSG00000001497	LAS1L	2323	882	1577	1074	995	2091	1464	1732	1463	1626	2394
ENSG00000001561	ENPP4	2117	563	1663	1156	711	2186	1616	1821	1691	1238	1991
ENSG00000001617	SEMA3F	1507	2252	1351	6787	758	2102	4892	1336	3776	913	3000
ENSG00000001626	CFTR	11	0	20	1	21	16	0	13	2	7	17
ENSG00000001629	ANKIB1	4174	808	2823	1111	1603	3227	2005	3386	2872	2778	6268
ENSG00000001630	CYP51A1	173	45	130	46	66	145	110	155	129	163	213
ENSG00000001631	KRIT1	845	252	593	318	323	731	481	653	558	466	754
ENSG00000002016	RAD52	489	212	341	240	430	500	264	401	293	449	462
ENSG00000002079	MYH16	0	0	3	1	2	5	1	3	1	3	4
ENSG00000002330	BAD	2361	655	1237	996	921	2217	1745	1591	1460	1481	1060
ENSG00000002549	LAP3	3192	1351	3955	2185	1388	4608	6108	2845	4050	3449	3114
ENSG00000002586	CD99	4226	1209	3014	1792	1750	5110	5021	4625	4544	2194	1636
ENSG00000002587	HS3ST1	468	50	168	78	94	177	182	245	261	27	24
ENSG00000002726	AOC1	3	130	5	16	4	5	870	11	551	9	3
ENSG00000002745	WNT16	2	1	0	1	1	4	6	0	3	1	1
ENSG00000002746	HECW1	107	0	96	2	15	173	9	118	94	7	111
ENSG00000002822	MAD1L1	1274	646	819	708	471	1077	1177	878	996	666	682
ENSG00000002834	LASP1	5989	5020	6135	5839	2071	5904	9517	4699	7245	4753	4216
ENSG00000002919	SNX11	2564	655	1528	789	1102	3070	1787	2299	1762	3129	2195
ENSG00000002933	TMEM176A	169	293	422	334	101	411	1977	181	474	1518	81
ENSG00000003056	M6PR	4902	1693	3731	1890	1582	3964	3585	3465	3505	3274	3784
ENSG00000003096	KLHL13	75	7	62	68	20	54	18	44	38	6	47
ENSG00000003137	CYP26B1	492	51	233	119	408	600	253	802	263	2299	501
ENSG00000003147	ICA1	876	324	675	401	372	836	524	847	537	868	423
ENSG00000003249	DBNDD1	719	372	760	512	274	754	838	490	789	954	236
